_pf_date,_pf_meeting_id,_pf_venue,_pf_state,_pf_surface,race_id,race_number,race_name,race_distance,race_class,race_prize,race_start_time,runner_id,horse,tab_no,barrier,weight,weight_total,handicap,age,sex,country,trainer_id,trainer,trainer_loc,jockey_id,jockey,jockey_claim,jockey_apprentice,price_sp,last10,win_pct,place_pct,career_starts,career_wins,prize_money_total,emergency,gear_changes,prep_runs,form_id,track_rec_starts,track_rec_firsts,track_rec_seconds,track_rec_thirds,dist_rec_starts,dist_rec_firsts,dist_rec_seconds,dist_rec_thirds,trackdist_rec_starts,trackdist_rec_firsts,trackdist_rec_seconds,trackdist_rec_thirds,good_rec_starts,good_rec_firsts,good_rec_seconds,good_rec_thirds,soft_rec_starts,soft_rec_firsts,soft_rec_seconds,soft_rec_thirds,heavy_rec_starts,heavy_rec_firsts,heavy_rec_seconds,heavy_rec_thirds,first_up_starts,first_up_firsts,first_up_seconds,first_up_thirds,second_up_starts,second_up_firsts,second_up_seconds,second_up_thirds,trainerA2E_Career_a2e,trainerA2E_Career_pot,trainerA2E_Career_sr,trainerA2E_Career_wins,trainerA2E_Career_runners,jockeyA2E_Career_a2e,jockeyA2E_Career_pot,jockeyA2E_Career_sr,jockeyA2E_Career_wins,jockeyA2E_Career_runners,trainerJockeyA2E_Career_a2e,trainerJockeyA2E_Career_pot,trainerJockeyA2E_Career_sr,trainerJockeyA2E_Career_wins,trainerJockeyA2E_Career_runners,trainerA2E_Last100_a2e,trainerA2E_Last100_pot,trainerA2E_Last100_sr,trainerA2E_Last100_wins,trainerA2E_Last100_runners,jockeyA2E_Last100_a2e,jockeyA2E_Last100_pot,jockeyA2E_Last100_sr,jockeyA2E_Last100_wins,jockeyA2E_Last100_runners,trainerJockeyA2E_Last100_a2e,trainerJockeyA2E_Last100_pot,trainerJockeyA2E_Last100_sr,trainerJockeyA2E_Last100_wins,trainerJockeyA2E_Last100_runners
2026-04-11,238684,Newcastle,NSW,,1335998,2,Maple Design + Construction Mdn Plate,1250,Maiden;,42000,4/11/2026 1:15:00 PM,1136822,Street Force,12,8,57.5,57.5,0,3,Filly,AUS,24094,S I Singleton,Scone,3408,Mikayla Weir,0,False,51,6                   ,0,0,3,0,3950,False,,0,9750972,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.999318311312835,-10.096252885402812,11.433868974042,370,3236,0.967174666819611,-12.472131916807937,7.755595886267,641,8265,1.335595369650173,22.214706571909595,16.822429906542,18,107,1.0741202023825778,3.0589180190594965,19,19,100,1.1989197817781736,20.87365597251409,15,15,100,1.3640719713033012,24.021261688941166,18,18,100
2026-04-11,238684,Newcastle,NSW,,1335998,2,Maple Design + Construction Mdn Plate,1250,Maiden;,42000,4/11/2026 1:15:00 PM,1134441,Le Smoke,7,10,57.5,57.5,0,3,Filly,NZ,20173,K A Lees,Newcastle,10928,Andrew Gibbons,0,False,9,2x                  ,0,33.33,3,0,5460,False,Ear muffs (pre-race only) off first time. ,0,9750967,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0.9846389583328813,-10.149392739811935,15.369897959183,1928,12544,0.9498743953962706,-12.932674125290545,11.550771021239,794,6874,0.9238357695704613,-14.371045642880476,16.232558139534,349,2150,1.0713117128723144,-2.4345480776920967,16,16,100,0.9353581944251129,-9.478079103803736,10,10,100,0.7069708226083399,-35.913013274704,10,10,100
2026-04-11,238684,Newcastle,NSW,,1335998,2,Maple Design + Construction Mdn Plate,1250,Maiden;,42000,4/11/2026 1:15:00 PM,1108718,Bang On Time,1,5,58,58,0,4,Mare,NZ,14030,K J Parker,Kembla Grange,11357,Chad Lever,0,False,1.75,2                   ,33.33,66.67,3,1,33200,False,Ear muffs (pre-race only) first time. ,0,9750961,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0.9842255058733261,-12.308002969541787,9.432234432234,206,2184,0.9872541944545841,-10.70840203095069,12.574139976275,530,4215,1.7288124926891009,32.08312516861633,19.642857142857,11,56,0.5225528115283695,-55.70768907764674,5,5,100,0.864685658145615,-24.698280992411366,12,12,100,1.7288124926891009,32.08312516861633,19.642857142857,11,56
2026-04-11,238684,Newcastle,NSW,,1335998,2,Maple Design + Construction Mdn Plate,1250,Maiden;,42000,4/11/2026 1:15:00 PM,993098,Sans Egal,3,1,58,58,0,4,Mare,AUS,22369,T Wong,Hawkesbury,14668,L P Beuzelin,0,False,51,8x4383405x56x       ,0,16.67,12,0,13960,False,Blinkers again. Lugging bit off first time. Tongue tie off first time. ,0,9750963,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,5,0,0,1,2,0,0,1,4,0,0,0,3,0,0,1,0.9415199399525812,-15.507636705097283,6.303724928366,22,349,0.979382955443263,-13.44757718471966,9.970014992503,133,1334,1.4274038620234362,18.2212735104877,20,1,5,0.6675310619256069,-45.31962754561158,5,5,100,0.6208239095606289,-37.61505648412799,5,5,100,1.4274038620234362,18.2212735104877,20,1,5
2026-04-11,238684,Newcastle,NSW,,1335998,2,Maple Design + Construction Mdn Plate,1250,Maiden;,42000,4/11/2026 1:15:00 PM,1117487,Pink Persuasion,9,9,57.5,57.5,0,3,Filly,AUS,20552,C J Waller,Rosehill,14843,Rory Hutchings,0,False,3.5,3239x               ,0,71.43,7,0,36650,False,Blinkers off first time. ,0,9750969,1,0,0,1,1,0,1,0,0,0,0,0,6,0,1,3,1,0,0,1,0,0,0,0,2,0,0,2,2,0,1,1,0.9745241248521622,-11.439928782926076,13.569116967175,3522,25956,1.0422023247293015,-6.876649339956688,12.662337662337,468,3696,1.1041908515976295,-2.665728538113282,14.112903225806,70,496,0.9605932240682874,-15.95233859833127,13,13,100,0.7500055198469567,-35.97252632265603,7,7,100,1.0892636990884483,-4.862200777941977,14,14,100
2026-04-11,238684,Newcastle,NSW,,1335998,2,Maple Design + Construction Mdn Plate,1250,Maiden;,42000,4/11/2026 1:15:00 PM,1133183,Our Lady Peace,8,7,57.5,57.5,0,3,Filly,AUS,15153,G Portelli,Warwick Farm,15329,Andrew Adkins,0,False,18,7x4                 ,0,40,5,0,17950,False,,0,9750968,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.941388615982199,-13.347522695455645,10.828440965427,498,4599,0.9197901532037482,-17.16094352409294,8.518729796539,448,5259,0,-100,0,0,10,0.9336918571493548,-15.855424170660056,7,7,100,0.9274784482719703,-16.590792807414324,10,10,100,0,-100,0,0,10
2026-04-11,238684,Newcastle,NSW,,1335998,2,Maple Design + Construction Mdn Plate,1250,Maiden;,42000,4/11/2026 1:15:00 PM,1115063,Queen Of Russia,10,3,57.5,57.5,,3,Filly,AUS,26871,G Waterhouse & A Bott,Randwick,16691,Zac Wadick,0,True,12,,0,0,1,0,1050,False,,0,9750970,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0694383110000036,-4.778573092708504,18.235441767068,1453,7968,0.9422480303061401,-15.437445960905082,9.380053908355,174,1855,1.0188909893222258,-9.956355023652847,22.413793103448,13,58,1.0644430032342072,-7.273432799148803,18,18,100,0.9380156835413438,-11.114403058168934,11,11,100,1.0188909893222258,-9.956355023652847,22.413793103448,13,58
2026-04-11,238684,Newcastle,NSW,,1335998,2,Maple Design + Construction Mdn Plate,1250,Maiden;,42000,4/11/2026 1:15:00 PM,1127703,Pietiero,13,4,54.5,55,0,2,Filly,AUS,20173,K A Lees,Newcastle,16744,William A Stanley,2,True,101,0                   ,0,0,2,0,1050,True,,0,9750973,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.9846389583328813,-10.149392739811935,15.369897959183,1928,12544,0.9775567108561084,-14.947713526978735,9.837177747625,145,1474,1.1930468252662325,14.337298745005393,14.285714285714,14,98,1.0713117128723144,-2.4345480776920967,16,16,100,1.399585638419069,26.632895110140982,14,14,100,1.1930468252662325,14.337298745005393,14.285714285714,14,98
2026-04-11,238684,Newcastle,NSW,,1335998,2,Maple Design + Construction Mdn Plate,1250,Maiden;,42000,4/11/2026 1:15:00 PM,1126399,Get Litt,14,6,57.5,57.5,0,3,Filly,AUS,26965,Richard Litt,Warwick Farm,16746,Adam Farragher,0,False,18,7                   ,0,25,4,0,9560,True,,0,9750974,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1.0107296034241076,-11.868340003191799,10.108481262327,205,2028,0.7215593720499636,-36.7239234927632,6.293706293706,9,143,0,-100,0,0,1,1.0905665021755537,-3.5044006563143486,15,15,100,0.7931131871505624,-30.097943223835866,7,7,100,0,-100,0,0,1
2026-04-11,238684,Newcastle,NSW,,1335998,2,Maple Design + Construction Mdn Plate,1250,Maiden;,42000,4/11/2026 1:15:00 PM,1125819,Rising Queen,11,2,55.5,57.5,,3,Filly,AUS,20552,C J Waller,Rosehill,17435,Siena Grima,2,True,61,,0,0,1,0,1050,False,Ear muffs (pre-race only) first time. Lugging bit first time. ,0,9750971,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9745241248521622,-11.439928782926076,13.569116967175,3522,25956,1.013850777813098,-9.332959804571614,9.561466570812,133,1391,0.6970166110734499,-37.39851861077028,8.035714285714,9,112,0.9605932240682874,-15.95233859833127,13,13,100,0.8763226454117683,-27.00125635323422,9,9,100,0.5979304251280565,-47.54404379007621,7,7,100
