date,n_bets,staked,pnl,cum_pnl,strike_pct
2026-04-26,7,169.23,+430.77,+430.77,43
2026-04-27,7,179.68,+220.32,+651.09,29
2026-04-28,4,126.36,-126.36,+524.73,0
2026-04-29,6,171.53,+28.47,+553.19,17
2026-04-30,12,223.82,-223.82,+329.37,0
2026-05-01,22,703.54,+96.46,+425.83,18
2026-05-02,34,1022.58,+377.42,+803.25,21
2026-05-03,6,198.20,+201.80,+1005.06,33
2026-05-04,7,158.82,+441.18,+1446.24,43
2026-05-05,9,195.06,+4.94,+1451.18,11
2026-05-06,7,99.40,+100.60,+1551.78,14
2026-05-07,7,159.17,+40.83,+1592.60,14
2026-05-08,16,531.45,+68.55,+1661.15,19
2026-05-09,39,1305.93,+494.07,+2155.23,23
2026-05-10,9,409.67,-9.67,+2145.55,22
2026-05-11,3,52.75,-52.75,+2092.80,0
2026-05-12,0,0.00,+0.00,+2092.80,
2026-05-13,7,185.60,+414.40,+2507.20,43
2026-05-14,4,92.04,-92.04,+2415.16,0
2026-05-15,11,271.84,-71.84,+2343.31,9
2026-05-16,34,1221.75,-421.75,+1921.57,12
2026-05-17,9,257.66,-257.66,+1663.91,0
2026-05-18,4,49.72,-49.72,+1614.19,0
2026-05-19,5,268.61,-268.61,+1345.58,0
2026-05-20,10,254.14,+145.86,+1491.44,20
2026-05-21,15,359.37,+40.63,+1532.07,13
2026-05-22,8,254.00,-254.00,+1278.07,0
2026-05-23,31,1388.96,+411.04,+1689.12,29
2026-05-24,14,531.25,-331.25,+1357.87,7
2026-05-25,1,36.36,-36.36,+1321.50,0
2026-05-26,3,150.11,-150.11,+1171.39,0
2026-05-27,9,168.82,+431.18,+1602.57,33
2026-05-28,0,0.00,+0.00,+1602.57,
2026-05-29,6,128.04,-128.04,+1474.54,0
2026-05-30,30,832.15,-232.15,+1242.39,10
2026-05-31,14,392.68,+7.32,+1249.71,14
2026-06-01,7,228.60,-28.60,+1221.11,14
2026-06-02,3,58.89,-58.89,+1162.22,0
2026-06-03,7,201.99,-201.99,+960.23,0
2026-06-04,7,218.15,+181.85,+1142.07,29
2026-06-05,8,235.29,+364.71,+1506.78,38
2026-06-06,32,990.75,+409.25,+1916.03,22
2026-06-07,10,274.55,+325.45,+2241.48,30
2026-06-08,5,107.20,+92.80,+2334.27,20
2026-06-09,0,0.00,+0.00,+2334.27,
2026-06-10,5,111.39,-111.39,+2222.89,0
2026-06-11,6,128.64,-128.64,+2094.24,0
2026-06-12,6,111.99,+88.01,+2182.25,17
2026-06-13,33,1235.87,-635.87,+1546.38,9
2026-06-14,16,408.41,-8.41,+1537.97,12
2026-06-15,7,150.67,+49.33,+1587.30,14
2026-06-16,0,0.00,+0.00,+1587.30,
2026-06-17,0,0.00,+0.00,+1587.30,
2026-06-18,0,0.00,+0.00,+1587.30,
2026-06-19,0,0.00,+0.00,+1587.30,
2026-06-20,0,0.00,+0.00,+1587.30,
2026-06-21,0,0.00,+0.00,+1587.30,
2026-06-22,0,0.00,+0.00,+1587.30,
2026-06-23,6,156.23,-156.23,+1431.06,0
2026-06-24,0,0.00,+0.00,+1431.06,
2026-06-25,0,0.00,+0.00,+1431.06,
2026-06-26,0,0.00,+0.00,+1431.06,
2026-06-27,38,1142.73,-342.73,+1088.34,11
2026-06-28,0,0.00,+0.00,+1088.34,
2026-06-29,0,0.00,+0.00,+1088.34,
2026-06-30,0,0.00,+0.00,+1088.34,
2026-07-01,0,0.00,+0.00,+1088.34,
2026-07-02,0,0.00,+0.00,+1088.34,
2026-07-03,0,0.00,+0.00,+1088.34,
2026-07-04,31,1084.78,+315.22,+1403.55,23
2026-07-05,10,279.40,+120.60,+1524.15,20
2026-07-06,6,86.08,+113.92,+1638.08,17
2026-07-07,4,144.21,+55.79,+1693.87,25
2026-07-08,11,324.38,+75.62,+1769.49,18
2026-07-09,7,179.94,-179.94,+1589.55,0
2026-07-10,9,220.38,-220.38,+1369.17,0
2026-07-11,38,1214.51,+385.49,+1754.66,21
