track,track_id,track_code
Gold Coast,362,GOLD 
Toowoomba Inner,496,TWBIN
Ipswich,165,IPSWI
Murray Bridge GH,630,MBRID
Moe,172,MOE  
Queanbeyan,177,QUEAN
Townsville,517,TVILL
Rosehill,518,ROSEH
Dubbo,575,DUBBO
Tatura,308,TATUR
Ballarat Synthetic,629,BALSY
Grafton,545,GRAFT
Moree,40,MOREE
Bendigo,73,BENDI
Gundagai,434,GUNDA
Kalgoorlie,560,KALGL
Sunshine Coast,169,CALOU
Eagle Farm,303,EAGLE
Muswellbrook,465,MUSWE
Lark Hill,437,LARKH
Devonport Synthetic,380,DEVSY
Randwick-Kensington,19,RANDI
Belmont Park,67,BELPK
Sandown-Hillside,345,SANHL
